Perturbation,gene,dot_product,pearson_correlation,spearman_correlation,perturbation_direction,raw_rank,cluster_mean_score,refined_score,refined_rank
TCF7_Gain,TCF7,0.017246831430811467,0.7946437867028004,0.8549499443826476,gain,1.0,0.12975433783927867,0.7281548418164483,1.0
WT1_Gain,WT1,0.03439987230277523,0.7030544033893313,0.6618464961067855,gain,3.0,0.3020985093413387,0.662958813984532,3.0
PRDM13_Gain,PRDM13,0.02035369347694174,0.6193793961630903,0.5457174638487209,gain,11.0,0.3020985093413387,0.5876513074809152,11.0
NFYB_Gain,NFYB,0.01759362067751521,0.4788958454720439,0.5724137931034484,gain,28.0,0.3020985093413387,0.4612161118589734,28.0
ATF6B_Gain,ATF6B,0.007636765164587753,0.43368385683722566,0.4749721913236931,gain,32.0,0.12975433783927867,0.40329090493743097,33.0
BATF_Gain,BATF,0.006767026947593758,0.3475255297322522,0.3988876529477198,gain,40.0,0.12975433783927867,0.32574841054295484,41.0
FOSB_Gain,FOSB,0.02186354016850757,0.32382643993449384,0.35928809788654065,gain,43.0,0.12975433783927867,0.3044192297249723,43.0
RELA_Gain,RELA,0.016441304477247808,0.2789011016857348,0.2952169076751947,gain,46.0,0.12975433783927867,0.2639864253010892,47.0
STAT6_Loss,STAT6,0.001323876003775434,0.25285468278098433,0.12969966629588434,loss,52.0,0.3020985093413387,0.2577790654370198,49.0
LHX4_Gain,LHX4,0.014111618679264498,0.21353565673383068,0.17285873192436044,gain,63.0,0.3020985093413387,0.22239194199458148,61.0
FOSL1_Gain,FOSL1,0.004943257258196173,0.20133534038103654,0.16796440489432707,gain,66.0,0.3020985093413387,0.21141165727706676,62.0
FOXQ1_Gain,FOXQ1,0.0053210563663172,0.17651624136619348,0.1448275862068966,gain,68.0,0.3020985093413387,0.18907446816370801,66.0
FOXD2_Gain,FOXD2,0.006077761813290368,0.1923547413538798,0.15194660734149057,gain,67.0,0.12975433783927867,0.1860947010024197,67.0
IKZF3_Gain,IKZF3,0.00437666326273093,0.08962372804883817,0.08743047830923249,gain,79.0,0.12975433783927867,0.09363678902788222,79.0
ZNF830_Gain,ZNF830,0.0006309579169742543,0.02428924999788266,-0.07230255839822027,gain,85.0,0.3020985093413387,0.05207017593222826,83.0
MEF2D_Loss,MEF2D,-0.0004547380770158626,-0.00892680118363727,-0.07541713014460513,loss,90.0,0.12975433783927867,0.004941312718654322,89.0
TBX21_Gain,TBX21,-0.004208842444174624,-0.04447457327598122,-0.09766407119021137,gain,96.0,0.3020985093413387,-0.009817265014249232,93.0
LHX6_Gain,LHX6,-0.0024956149198394916,-0.169095195069874,-0.21690767519466078,gain,105.0,0.3020985093413387,-0.12197582462875273,104.0
ALX4_Gain,ALX4,-0.006480230771343288,-0.29627425518781403,-0.3668520578420468,gain,117.0,0.3020985093413387,-0.23643697873489877,111.0
GATA3_Gain,GATA3,-0.010830809380042973,-0.29618108083683825,-0.29877641824249174,gain,116.0,0.12975433783927867,-0.2535875389692266,114.0
EOMES_Gain,EOMES,-0.05535010965655644,-0.5819576298651997,-0.7361512791991103,gain,132.0,-0.346608171876487,-0.5584226840663284,131.0
